matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy
598071,225.0,485.0,10,0.5360824742268041
598072,418.0,531.0,10,0.2128060263653484
598073,444.0,670.0,10,0.3373134328358209
729279,384.0,621.0,10,0.38164251207729466
729281,373.0,468.0,11,0.202991452991453
729283,380.0,626.0,10,0.3929712460063898
729285,340.0,504.0,10,0.3253968253968254
729287,295.0,481.0,10,0.3866943866943867
729289,343.0,514.0,10,0.3326848249027237
729291,302.0,549.0,10,0.44990892531876137
729293,396.0,557.0,10,0.289048473967684
729295,221.0,635.0,10,0.6519685039370079
729297,216.0,522.0,10,0.5862068965517241
729299,233.0,531.0,10,0.5612052730696798
729301,338.0,516.0,10,0.3449612403100775
729303,214.0,545.0,10,0.6073394495412844
729305,210.0,470.0,10,0.5531914893617021
729307,336.0,566.0,10,0.40636042402826855
729309,322.0,385.0,10,0.16363636363636364
729311,385.0,535.0,10,0.2803738317757009
729313,274.0,509.0,10,0.46168958742632615
729315,315.0,487.0,10,0.3531827515400411
729317,372.0,594.0,10,0.37373737373737376
733971,386.0,565.0,10,0.3168141592920354
733973,245.0,510.0,10,0.5196078431372549
733975,177.0,442.0,10,0.5995475113122172
733977,262.0,583.0,10,0.5506003430531733
733979,348.0,633.0,10,0.45023696682464454
733981,288.0,481.0,10,0.40124740124740127
733983,341.0,536.0,10,0.36380597014925375
733985,307.0,457.0,10,0.3282275711159737
733987,440.0,552.0,10,0.2028985507246377
733989,365.0,565.0,10,0.35398230088495575
733991,396.0,666.0,10,0.40540540540540543
733993,215.0,372.0,10,0.4220430107526882
733995,277.0,524.0,10,0.4713740458015267
733997,187.0,500.0,10,0.626
733999,209.0,673.0,10,0.6894502228826151
734001,401.0,514.0,10,0.2198443579766537
734003,382.0,545.0,10,0.29908256880733947
734005,325.0,518.0,10,0.37258687258687256
734007,253.0,536.0,10,0.5279850746268657
734009,370.0,475.0,10,0.22105263157894736
734011,436.0,608.0,10,0.28289473684210525
734013,308.0,509.0,10,0.3948919449901768
734015,278.0,423.0,11,0.34278959810874704
734017,312.0,581.0,10,0.4629948364888124
734019,311.0,657.0,10,0.5266362252663622
734021,289.0,508.0,10,0.4311023622047244
734023,352.0,436.0,10,0.1926605504587156
734025,165.0,503.0,10,0.6719681908548708
734027,422.0,542.0,10,0.22140221402214022
734029,384.0,564.0,10,0.3191489361702128
734031,326.0,522.0,10,0.37547892720306514
734033,265.0,490.0,10,0.45918367346938777
734035,345.0,510.0,10,0.3235294117647059
734037,357.0,529.0,10,0.32514177693761814
734039,389.0,528.0,10,0.26325757575757575
734041,281.0,548.0,10,0.48722627737226276
734043,265.0,550.0,10,0.5181818181818182
734045,375.0,557.0,10,0.3267504488330341
734047,329.0,657.0,10,0.4992389649923896
734049,191.0,712.0,10,0.7317415730337079
829705,351.0,546.0,10,0.35714285714285715
829707,418.0,531.0,11,0.2128060263653484
829709,349.0,569.0,11,0.3866432337434095
829711,313.0,561.0,10,0.44206773618538325
829713,317.0,524.0,10,0.3950381679389313
829715,282.0,607.0,10,0.5354200988467874
829717,431.0,631.0,10,0.31695721077654515
829719,440.0,593.0,10,0.2580101180438449
829721,355.0,503.0,10,0.294234592445328
829723,247.0,619.0,10,0.6009693053311793
829725,412.0,578.0,10,0.28719723183391005
829727,289.0,447.0,10,0.3534675615212528
829729,368.0,672.0,10,0.4523809523809524
829731,368.0,518.0,10,0.28957528957528955
829733,319.0,634.0,10,0.4968454258675079
829735,429.0,506.0,10,0.15217391304347827
829737,278.0,623.0,10,0.5537720706260032
829739,255.0,475.0,10,0.4631578947368421
829741,393.0,546.0,10,0.2802197802197802
829743,412.0,452.0,10,0.08849557522123894
829745,454.0,601.0,10,0.24459234608985025
829747,382.0,600.0,10,0.36333333333333334
829749,391.0,508.0,10,0.23031496062992127
829751,377.0,604.0,10,0.3758278145695364
829753,337.0,540.0,10,0.37592592592592594
829757,350.0,471.0,10,0.25690021231422505
829759,319.0,530.0,10,0.39811320754716983
829761,325.0,485.0,10,0.32989690721649484
829763,180.0,343.0,10,0.4752186588921283
829765,315.0,472.0,10,0.3326271186440678
829767,128.0,503.0,10,0.7455268389662028
829769,328.0,496.0,10,0.3387096774193548
829771,256.0,349.0,10,0.2664756446991404
829773,455.0,564.0,10,0.19326241134751773
829775,279.0,473.0,10,0.41014799154334036
829777,457.0,612.0,10,0.25326797385620914
829779,409.0,589.0,10,0.30560271646859083
829781,423.0,519.0,10,0.18497109826589594
829783,378.0,524.0,10,0.2786259541984733
829785,650.0,693.0,10,0.06204906204906205
829787,486.0,615.0,10,0.2097560975609756
829789,227.0,407.0,10,0.44226044226044225
829791,303.0,585.0,10,0.48205128205128206
829793,229.0,517.0,10,0.5570599613152805
829795,563.0,647.0,10,0.12982998454404945
829797,292.0,607.0,10,0.5189456342668863
829799,453.0,616.0,10,0.26461038961038963
829801,259.0,490.0,10,0.4714285714285714
829803,243.0,415.0,10,0.41445783132530123
829805,311.0,439.0,10,0.29157175398633256
829807,376.0,426.0,10,0.11737089201877934
829809,232.0,418.0,10,0.4449760765550239
829811,441.0,744.0,10,0.40725806451612906
829813,226.0,354.0,10,0.3615819209039548
829815,283.0,476.0,10,0.4054621848739496
829817,448.0,603.0,10,0.2570480928689884
829819,412.0,545.0,10,0.24403669724770644
829821,230.0,447.0,10,0.4854586129753915
829823,330.0,646.0,10,0.4891640866873065
980901,342.0,472.0,10,0.2754237288135593
980903,341.0,475.0,10,0.28210526315789475
980905,277.0,573.0,10,0.5165794066317626
980907,491.0,617.0,10,0.20421393841166938
980909,353.0,574.0,10,0.38501742160278746
980911,448.0,540.0,11,0.17037037037037037
980913,264.0,474.0,10,0.4430379746835443
980915,263.0,512.0,10,0.486328125
980917,395.0,570.0,10,0.30701754385964913
980919,229.0,574.0,10,0.6010452961672473
980921,461.0,639.0,10,0.27856025039123633
980923,271.0,524.0,10,0.48282442748091603
980925,355.0,534.0,10,0.3352059925093633
980927,280.0,530.0,10,0.4716981132075472
980929,342.0,511.0,10,0.33072407045009783
980931,547.0,660.0,10,0.1712121212121212
980933,305.0,506.0,10,0.39723320158102765
980935,353.0,461.0,10,0.23427331887201736
980937,313.0,511.0,10,0.38747553816046965
980939,328.0,569.0,10,0.4235500878734622
980941,312.0,626.0,10,0.5015974440894568
980943,347.0,500.0,10,0.306
980945,530.0,675.0,10,0.21481481481481482
980947,375.0,554.0,10,0.3231046931407942
980949,466.0,597.0,10,0.21943048576214405
980951,303.0,705.0,10,0.5702127659574469
980953,453.0,502.0,10,0.09760956175298804
980955,412.0,594.0,10,0.3063973063973064
980957,338.0,505.0,11,0.3306930693069307
980959,441.0,619.0,10,0.2875605815831987
980961,195.0,483.0,10,0.5962732919254659
980963,374.0,533.0,10,0.29831144465290804
980965,359.0,438.0,10,0.18036529680365296
980967,365.0,509.0,10,0.2829076620825147
980969,493.0,633.0,10,0.2211690363349131
980971,288.0,548.0,10,0.4744525547445255
980973,289.0,629.0,10,0.5405405405405406
980975,271.0,536.0,10,0.4944029850746269
980977,417.0,516.0,10,0.19186046511627908
980979,284.0,560.0,10,0.4928571428571429
980981,315.0,450.0,10,0.3
980983,305.0,451.0,10,0.3237250554323725
980985,324.0,554.0,10,0.4151624548736462
980987,538.0,769.0,10,0.30039011703511054
980989,145.0,323.0,10,0.5510835913312694
980991,245.0,498.0,10,0.5080321285140562
980993,226.0,591.0,10,0.6175972927241963
980995,384.0,547.0,10,0.2979890310786106
980997,205.0,409.0,10,0.49877750611246946
980999,498.0,641.0,10,0.22308892355694226
981001,397.0,434.0,11,0.08525345622119816
981003,358.0,478.0,10,0.2510460251046025
981005,359.0,631.0,10,0.43106180665610144
981007,350.0,626.0,10,0.44089456869009586
981009,356.0,531.0,10,0.3295668549905838
981011,445.0,495.0,10,0.10101010101010101
981013,353.0,733.0,10,0.5184174624829468
981015,285.0,541.0,10,0.4731977818853974
981017,315.0,580.0,10,0.45689655172413796
981019,360.0,648.0,10,0.4444444444444444
1082591,401.0,538.0,10,0.25464684014869887
1082592,306.0,582.0,10,0.4742268041237113
1082593,240.0,572.0,10,0.5804195804195804
1082594,277.0,457.0,10,0.3938730853391685
1082595,472.0,623.0,10,0.24237560192616373
1082596,328.0,476.0,10,0.31092436974789917
1082597,347.0,583.0,10,0.40480274442538594
1082598,340.0,496.0,10,0.31451612903225806
1082599,403.0,620.0,10,0.35
1082600,414.0,561.0,10,0.2620320855614973
1082601,385.0,538.0,10,0.2843866171003718
1082602,241.0,575.0,10,0.5808695652173913
1082603,304.0,573.0,10,0.4694589877835951
1082604,341.0,530.0,10,0.35660377358490564
1082605,295.0,611.0,10,0.5171849427168577
1082606,238.0,544.0,10,0.5625
1082607,266.0,516.0,10,0.4844961240310077
1082608,454.0,551.0,10,0.17604355716878403
1082609,394.0,728.0,10,0.45879120879120877
1082610,434.0,577.0,10,0.24783362218370883
1082611,331.0,606.0,10,0.4537953795379538
1082612,284.0,594.0,10,0.5218855218855218
1082613,377.0,548.0,10,0.31204379562043794
1082614,266.0,552.0,10,0.5181159420289855
1082615,381.0,469.0,10,0.18763326226012794
1082616,353.0,577.0,10,0.3882149046793761
1082617,283.0,608.0,10,0.5345394736842105
1082618,199.0,533.0,10,0.626641651031895
1082620,464.0,585.0,10,0.20683760683760682
1082621,290.0,505.0,10,0.42574257425742573
1082622,381.0,538.0,10,0.29182156133828996
1082623,508.0,659.0,10,0.2291350531107739
1082624,327.0,481.0,10,0.3201663201663202
1082625,270.0,626.0,10,0.5686900958466453
1082626,269.0,442.0,10,0.3914027149321267
1082627,431.0,580.0,10,0.25689655172413794
1082628,353.0,518.0,10,0.3185328185328185
1082629,273.0,607.0,10,0.5502471169686985
1082630,377.0,464.0,10,0.1875
1082631,320.0,544.0,10,0.4117647058823529
1082632,451.0,663.0,10,0.31975867269984914
1082633,399.0,628.0,10,0.3646496815286624
1082634,378.0,646.0,10,0.4148606811145511
1082635,324.0,602.0,10,0.46179401993355484
1082636,265.0,627.0,10,0.5773524720893142
1082637,430.0,584.0,10,0.2636986301369863
1082638,250.0,502.0,10,0.50199203187251
1082639,241.0,547.0,10,0.5594149908592322
1082640,379.0,563.0,10,0.3268206039076377
1082641,422.0,622.0,10,0.3215434083601286
1082642,316.0,574.0,10,0.44947735191637633
1082643,354.0,692.0,10,0.4884393063583815
1082644,279.0,571.0,10,0.51138353765324
1082645,248.0,429.0,10,0.4219114219114219
1082646,454.0,575.0,10,0.21043478260869566
1082647,103.0,566.0,10,0.8180212014134276
1082648,232.0,385.0,10,0.3974025974025974
1082649,193.0,523.0,10,0.6309751434034416
1082650,281.0,526.0,10,0.46577946768060835
1136561,356.0,578.0,10,0.38408304498269896
1136562,453.0,508.0,10,0.10826771653543307
1136563,453.0,606.0,10,0.2524752475247525
1136564,331.0,452.0,10,0.2676991150442478
1136565,295.0,575.0,10,0.48695652173913045
1136566,253.0,360.0,10,0.2972222222222222
1136567,316.0,566.0,10,0.4416961130742049
1136568,336.0,585.0,10,0.4256410256410256
1136569,299.0,612.0,10,0.511437908496732
1136570,382.0,540.0,10,0.29259259259259257
1136571,355.0,586.0,10,0.39419795221843
1136572,353.0,562.0,10,0.3718861209964413
1136573,441.0,654.0,10,0.3256880733944954
1136574,454.0,695.0,11,0.34676258992805753
1136575,293.0,506.0,10,0.4209486166007905
1136576,360.0,561.0,10,0.3582887700534759
1136577,456.0,685.0,10,0.3343065693430657
1136578,437.0,531.0,10,0.17702448210922786
1136579,272.0,539.0,10,0.49536178107606677
1136580,271.0,597.0,10,0.5460636515912898
1136581,307.0,599.0,10,0.48747913188647746
1136582,356.0,521.0,10,0.31669865642994244
1136583,338.0,524.0,10,0.3549618320610687
1136584,481.0,681.0,10,0.2936857562408223
1136585,214.0,641.0,10,0.6661466458658346
1136586,388.0,663.0,10,0.41478129713423834
1136587,261.0,554.0,10,0.5288808664259927
1136588,348.0,532.0,10,0.3458646616541353
1136589,286.0,536.0,10,0.4664179104477612
1136590,405.0,608.0,10,0.3338815789473684
1136591,332.0,530.0,10,0.37358490566037733
1136592,450.0,576.0,10,0.21875
1136593,309.0,538.0,10,0.4256505576208178
1136594,366.0,469.0,10,0.21961620469083157
1136595,255.0,484.0,10,0.4731404958677686
1136596,170.0,482.0,10,0.6473029045643154
1136597,494.0,572.0,10,0.13636363636363635
1136598,392.0,511.0,10,0.2328767123287671
1136599,422.0,538.0,10,0.21561338289962825
1136600,401.0,650.0,10,0.3830769230769231
1136601,399.0,566.0,10,0.2950530035335689
1136602,348.0,576.0,10,0.3958333333333333
1136603,369.0,486.0,10,0.24074074074074073
1136604,632.0,750.0,11,0.15733333333333333
1136605,402.0,542.0,10,0.25830258302583026
1136606,480.0,584.0,10,0.1780821917808219
1136607,392.0,574.0,10,0.3170731707317073
1136608,263.0,393.0,10,0.33078880407124683
1136609,322.0,595.0,10,0.4588235294117647
1136610,450.0,656.0,10,0.31402439024390244
1136611,327.0,654.0,10,0.5
1136612,272.0,511.0,10,0.46771037181996084
1136613,339.0,672.0,10,0.4955357142857143
1136614,429.0,600.0,10,0.285
1136615,307.0,566.0,10,0.4575971731448763
1136616,280.0,640.0,10,0.5625
1136617,278.0,506.0,11,0.4505928853754941
1136618,314.0,536.0,10,0.4141791044776119
1136619,467.0,583.0,10,0.19897084048027444
1136620,446.0,538.0,10,0.17100371747211895
1175356,282.0,490.0,10,0.42448979591836733
1175357,307.0,550.0,10,0.44181818181818183
1175358,400.0,593.0,10,0.3254637436762226
1175359,432.0,556.0,10,0.22302158273381295
1175360,338.0,453.0,10,0.25386313465783666
1175361,314.0,580.0,10,0.4586206896551724
1175362,398.0,621.0,10,0.35909822866344604
1175363,391.0,640.0,10,0.3890625
1175364,370.0,546.0,10,0.32234432234432236
1175365,486.0,624.0,10,0.22115384615384615
1175366,215.0,616.0,10,0.650974025974026
1175367,254.0,634.0,10,0.5993690851735016
1175368,330.0,624.0,10,0.47115384615384615
1175369,359.0,516.0,10,0.30426356589147285
1175370,357.0,575.0,10,0.3791304347826087
1175371,229.0,475.0,10,0.5178947368421053
1175372,520.0,587.0,10,0.1141396933560477
1178393,209.0,541.0,10,0.6136783733826248
1178394,203.0,536.0,10,0.621268656716418
1178395,365.0,578.0,10,0.3685121107266436
1178396,394.0,473.0,10,0.16701902748414377
1178397,382.0,477.0,11,0.19916142557651992
1178398,336.0,489.0,10,0.3128834355828221
1178399,436.0,632.0,10,0.310126582278481
1178400,284.0,553.0,10,0.4864376130198915
1178401,405.0,598.0,10,0.32274247491638797
1178402,473.0,649.0,10,0.2711864406779661
1178403,452.0,511.0,10,0.11545988258317025
1178404,382.0,583.0,10,0.34476843910806176
1178405,380.0,655.0,10,0.4198473282442748
1178406,456.0,636.0,10,0.2830188679245283
1178407,403.0,550.0,10,0.2672727272727273
1178408,342.0,458.0,11,0.25327510917030566
1178409,346.0,555.0,10,0.37657657657657656
1178410,539.0,680.0,10,0.2073529411764706
1178411,335.0,544.0,10,0.38419117647058826
1178412,372.0,559.0,10,0.334525939177102
1178413,292.0,530.0,11,0.4490566037735849
1178414,319.0,556.0,10,0.4262589928057554
1178415,369.0,615.0,10,0.4
1178416,198.0,543.0,10,0.6353591160220995
1178417,346.0,627.0,10,0.4481658692185008
1178418,257.0,603.0,10,0.5737976782752903
1178419,303.0,577.0,10,0.4748700173310225
1178420,397.0,530.0,10,0.2509433962264151
1178421,391.0,513.0,10,0.2378167641325536
1178422,489.0,684.0,10,0.2850877192982456
1178423,475.0,630.0,10,0.24603174603174602
1178424,159.0,311.0,10,0.4887459807073955
1178425,353.0,597.0,10,0.40871021775544386
1178426,343.0,590.0,10,0.4186440677966102
1178427,274.0,479.0,10,0.4279749478079332
1178428,326.0,562.0,10,0.4199288256227758
1178429,176.0,631.0,10,0.7210776545166403
1178430,348.0,622.0,10,0.4405144694533762
1178431,258.0,503.0,10,0.4870775347912525
1181764,193.0,457.0,10,0.5776805251641138
1181766,298.0,579.0,10,0.4853195164075993
1181767,354.0,507.0,10,0.30177514792899407
1181768,211.0,525.0,10,0.5980952380952381
